id,full_name,gender_age,fractions,probability,grade
0,Morissa Skade,F16,72%,70%,10
1,Jasper Comfort,M14,76%,73%,9
2,Siana Pallas,F18,58%,77%,10
3,Aldous Peele,M16,86%,83%,9
4,Ethelred Easun,M14,85%,NA,12
5,Goldarina Championnet,F14,83%,85%,10
6,Gardie Sleeny,M14,67%,89%,11
7,Ardyth Weaben,F14,60%,74%,11
8,Tomi Curuclis,F16,71%,86%,9
9,Rickie Toffler,F18,73%,83%,11
10,Grover Knightly,M16,84%,81%,9
11,Lowe Allatt,M17,81%,76%,11
12,Aveline Sammes,F16,70%,90%,10
13,Farlie Pawellek,M14,87%,77%,10
14,Luca Scutching,M15,75%,87%,11
15,Ardys Frid,F16,83%,91%,11
16,Johnny Iveson,M17,70%,85%,10
17,Mathilda De Vere,F17,NA,74%,9
18,Delia Lightbourne,F14,58%,78%,9
19,Traci de Verson,F14,71%,83%,9
20,Hugh Andreou,M17,63%,80%,9
